rmm_tool,rmm_domain
ITSupport247 (ConnectWise),itsupport247.net
ITSupport247 (ConnectWise),*.itsupport247.net
Impero Connect,imperosoftware.com
Instant Housecall,*.instanthousecall.com
Instant Housecall,*.instanthousecall.net
Instant Housecall,secure.instanthousecall.com
Instant Housecall,instanthousecall.com
IntelliAdmin Remote Control,intelliadmin.com/remote-control
IntelliAdmin Remote Control,*.intelliadmin.com
Iperius Remote,*.iperius-rs.com
Iperius Remote,*.iperius.com
Iperius Remote,iperiusremote.com
Iperius Remote,*.iperiusremote.com
Itarian,servicedesk.itarian.com
Itarian,mdmsupport.comodo.com
Itarian,remoteaccess.itarian.com
Itarian,*.cmdm.comodo.com
Itarian,*.itsm-us1.comodo.com
Itarian Endpoint Manager,*cmdm.comodo.com
Ivanti Remote Control,*.ivanticloud.com
Jump Cloud,*.assist.jumpcloud.com
Jump Cloud,*.api.jumpcloud.com
Jump Desktop,jumpdesktop.com
Jump Desktop,*.jumpto.me
Jump Desktop,*.jumpdesktop.com
Jump Desktop,jumpto.me
KHelpDesk,*.khelpdesk.com.br
Kabuto,repairtechsolutions.com/kabuto
Kabuto,*.kabuto.io
Kaseya (VSA),kaseya.com
Kaseya (VSA),*.kaseya.net
Kaseya (VSA),*managedsupport.kaseya.net
Kaseya (VSA),deploy01.kaseya.com
KickIdler,kickidler.com
KickIdler,my.kickidler.com
LANDesk,*.ivanticloud.com
LANDesk,*.ivanti.com
LANDesk,ivanti.com
LabTech RMM (Now ConnectWise Automate),connectwise.com
Laplink Everywhere,atled.syspectr.com
Laplink Everywhere,le.laplink.com
Laplink Everywhere,everywhere.laplink.com
Laplink Gold,wen.laplink.com/product/laplink-gold
Level.io,downloads.level.io
Level.io,downloads.io
Level.io,online.level.io
Level.io,agents.level.io
Level.io,builds.level.io
Level.io,level.io
Level.io,*.level.io
Level.io,*level.io
LiteManager,*.litemanager.ru
LiteManager,litemanager.com
LiteManager,*.litemanager.com
LogMeIn,*.logmein.com
LogMeIn,logmein-gateway.com
LogMeIn,rescue-data-cetner.logmein-gateway.com
LogMeIn,rescue-list.*.logmein-gateway.com
LogMeIn,logmeinrescue.com
LogMeIn,*logmein.com
LogMeIn,*.logmeinrescue.eu
LogMeIn,*.logmeininc.com
LogMeIn,*.logmeinrescue.com
LogMeIn,*.logmein.eu
MS QuickAssist,remoteassistance.support.services.microsoft.com
MS QuickAssist,*.support.services.microsoft.com
MS QuickAssist,*support.services.microsoft.com
MS QuickAssist,remoteassistanceprodacs*
MSP360,msp360.com
MSP360,*.mspbackups.com
MSP360,*.cloudberrylab.com
MSP360,*.msp360.com
Manage Engine (Desktop Central),manageengine.com/remote-monitoring-management
ManageEngine,desktopcentral.manageengine.com.eu
ManageEngine,desktopcentral.manageengine.cn
ManageEngine,*manageengine.com
ManageEngine,*.dms.zoho.com
ManageEngine,*.dms.zoho.com.eu
ManageEngine,*.-dms.zoho.com.cn
ManageEngine,*zoho*.com
ManageEngine,desktopcentral.manageengine.com
MeshCentral,meshcentral.com
Microsoft Quick Assist,*.support.services.microsoft.com
Mikogo,*.mikogo4.com
Mikogo,*.mikogo.com
Mikogo,mikogo.com
Mikogo,*.real-time-collaboration.com
MyGreenPC,*mygreenpc.com
MyIVO,myivo-server.software.informer.com
N-Able,*swi-rc.com
N-Able,cloudbackup.management
N-Able,systemmonitor.co.uk
N-Able,*.swi-tc.com
N-Able,*updatewarranty.com
N-Able,*system-monitor.com
N-Able,*swi-tc.com
N-Able,*.beanywhere.com
N-Able,systemmonitor.us
N-Able,*.n-able.com
N-Able,remote.management
N-Able,*systemmonitor.co.uk
N-Able,*cloudbackup.management
N-Able,systemmonitor.us.cdn.cloudflare.net
N-Able,*systemmonitor.eu.com
N-Able,*systemmonitor.us
N-Able,logicnow.com
N-Able,system-monitor.com
N-Able,systemmonitor.eu.com
N-Able,*beanywhere.com
N-Able,*n-able.com
N-Able,*swi-rc.cdn-sw.net
N-Able,*remote.management
N-Able,*.logicnow.com
N-Able,licensing.n-able.com
N-Able,feeds.n-able.com
N-Able,n-able.com
N-Able,push.n-able.com
N-Able,send.n-able.com
N-Able,sis.n-able.com
N-Able,update.n-able.com
N-Able,api.ecosystem-middleware.eu-central-1.prd.esp.system-monitor.com
N-Able,api.ecosystem-middleware.eu-west-1.prd.esp.system-monitor.com
N-Able,api.ecosystem-middleware.us-west-2.prd.esp.system-monitor.com
N-Able,api.ecosystem-middleware.ap-southeast-2.prd.esp.system-monitor.com
N-Able,servermetrics.n-able.com
N-Able,keybox.n-able.com
N-Able,updatewarranty.com
N-Able,scep.n-able.com
N-Able,ui.ecosystem-middleware.prd.esp.system-monitor.com
NTR Remote,*.ntrsupport.com
Narrowlink,github.com/narrowlink/narrowlink
Naverisk,naverisk.com
NetSupport Manager,netsupportmanager.com
NetSupport Manager,geo.netsupportsoftware.com
NetSupport Manager,*.netsupportmanager.com
Netop Remote Control (Impero Connect),*.netop.com
Netop Remote Control (Impero Connect),*.connect.backdrop.cloud
Netop Remote Control (Impero Connect),imperosoftware.com/impero-connect
Neturo,*.api.netreo.com
Neturo,activation.netreo.net
Neturo,netreo.com
Neturo,charon.netreo.net
Neturo,neturo.uplus.co.kr
Netviewer,download.cnet.com/Net-Viewer/3000-2370_4-10034828.html
Ngrok,connect.eu.ngrok-agent.com
Ngrok,connect.sa.ngrok-agent.com
Ngrok,connect.au.ngrok-agent.com
Ngrok,connect.ap.ngrok-agent.com
Ngrok,connect.us.ngrok-agent.com
Ngrok,*ngrok.app
Ngrok,connect.jp.ngrok-agent.com
Ngrok,connect.in.ngrok-agent.com
Ngrok,*ngrok.io
Ngrok,*ngrok.com
Ngrok,tunnel.*.ngrok.com
Ngrok,tunnel.ngrok.com
Ngrok,update.equinox.io
Ngrok,*.ngrok-agent.com
Ngrok,*update.equinox.io
Ngrok,*ngrok.pizza
Ngrok,*ngrok-free.pizza
Ngrok,*ngrok.dev
Ngrok,ngrok.com
Ngrok,*ngrok-free.dev
Ngrok,connect.ngrok-agent.com
Ngrok,*ngrok-agent.com
Ngrok,*ngrok-free.app
NinjaRMM,rmmservice.com.au
NinjaRMM,https://ninjabuilds.s3.amazonaws.com/
NinjaRMM,ninjaresources.s3.amazonaws.com/AgentBinaries/patchmgmt
NinjaRMM,ninjauploads.s3.amazonaws.com/app.ninjarmm.com*
NinjaRMM,*ninjarmm.com
NinjaRMM,*ninjarmm.net
NinjaRMM,*rmmservice.com
NinjaRMM,*.rmmservice.com
NinjaRMM,ninja*.s3.amazonaws.com
NinjaRMM,*.rmmservice.eu
NinjaRMM,*.ninjarmm.net
NinjaRMM,*.ninjaone.com
NinjaRMM,resources.ninjarmm.com
NinjaRMM,*.ninjarmm.com
NinjaRMM,ninjaone.com
NinjaRMM,ninjarmm.net
NinjaRMM,rmmservice.eu
NinjaRMM,*.rmmservice.com.au
NinjaRMM,*.ninja-backup.com
NinjaRMM,ninja-backup.com
NinjaRMM,rmmservice.ca
NinjaRMM,*.rmmservice.ca
NoMachine,nomachine.com
OCS inventory,ocsinventory-ng.org
OptiTune,*.optitune.us
OptiTune,*.opti-tune.com
PDQ Connect,pdqinstallers.*.r2.cloudflarestorage.com
PDQ Connect,cfcdn.pdq.com
PDQ Connect,app.pdq.com
Pandora RC (eHorus),portal.ehorus.com
Panorama9,trusted.panorama9.com
Panorama9,panorama9.com
Panorama9,changes.panorama9.com
Parallels Access,parallels.com/products/ras/try
Parallels Access,*.parallels.com
Parsec,parsec.app
Parsec,parsec.gg
Parsec,*.parsec.app
Pcnow,au.pcmag.com/utilities/21470/webex-pcnow
Pcvisit,*.pcvisit.de
Pcvisit,pcvisit.de
Pilixo,download.pilixo.com
Pilixo,*.pilixo.com
Pilixo,pilixo.com
Pocket Controller,soti.net/products/soti-pocket-controller
Pocket Controller (Soti Xsight),*soti.net
Pulseway,*pulseway.com
Pulseway,pulseway.com
QQ IM-remote assistance,upload_data.qq.com
QQ IM-remote assistance,*.desktop.qq.com
QQ IM-remote assistance,*.mdt.qq.com
QQ IM-remote assistance,qq-messenger.en.softonic.com
Quest KACE Agent (formerly Dell KACE),quest.com/kace
Quest KACE Agent (formerly Dell KACE),*.kace.com
RAdmin,radmin.com
RDPView,systemmanager.ru/dntu.en/rdp_view.htm
RES Automation Manager,ivanti.com
RPort,rport.io
RS Clinet,github.com/luchanso/remote-desktop
Rapid7,*.analytics.insight.rapid7.com
Rapid7,*.endpoint.ingress.rapid7.com
RealVNC,*update-check.realvnc.com
RealVNC,*services.vnc.com
Remobo,remobo.en.softonic.com
Remote Desktop Plus,donkz.nl
Remote Manipulator System,*.internetid.ru
Remote Manipulator System,rmansys.ru
Remote Utilities,*.internetid.ru
Remote Utilities,remoteutilities.com
Remote.it,auth.api.remote.it
Remote.it,api.remote.it
Remote.it,remote.it
RemoteCall,*.startsupport.com
RemoteCall,remotecall.com
RemoteCall,*.remotecall.com
RemotePC,*.remotedesktop.com
RemotePC,*.remotepc.com
RemotePC,remotepc.com
RemoteView,*content.rview.com
RemoteView,*.rview.com
RemoteView,content.rview.com
Resilio Sync,*getsync.com
Resilio Sync,*resilio.us
Resilio Sync,*resilio.com
Resilio Sync,*resilioservices.com
Resilio Sync,*resiliodocs.com
Resilio Sync,*resiliorequests.com
Royal TS,royalapps.com
RuDesktop,*.rudesktop.ru
RuDesktop,rudesktop.ru
RunSmart,runsmart.io
RustDesk,*rustdesk.com
RustDesk,rs-ny.rustdesk.com
RustDesk,rustdesk.com
RustDesk,web.rustdesk.com
RustDesk,api.rustdesk.com
ScreenConnect,myconnectwise.com
ScreenConnect,connectwise.com
ScreenConnect,*itsupport247.net
ScreenConnect,screenconnect.com
ScreenConnect,*screenconnect.com
ScreenConnect,control.connectwise.com
ScreenConnect,*.connectwise.com
ScreenConnect,*connectwise.com
ScreenConnect,*.screenconnect.com
ScreenConnect,itsupport247.net
ScreenMeet,*.scrn.mt
ScreenMeet,*.screenmeet.com
Seetrol,seetrol.co.kr
Senso.cloud,*.senso.cloud
Senso.cloud,senso.cloud
ServerEye,*.server-eye.de
ShowMyPC,*.showmypc.com
ShowMyPC,showmypc.com
SimpleHelp,simple-help.com
Site24x7,site24x7.com/msp
Site24x7,plus*.site24x7.net.au
Site24x7,plus*.site24x7.cn
Site24x7,plus*.site24x7.in
Site24x7,plus*.site24x7.eu
Site24x7,plus*.site24x7.com
SkyFex,deskroll.com
SkyFex,*.deskroll.com
SkyFex,skyfex.com
Sophos-Remote Management System,community.sophos.com/on-premise-endpoint/f/sophos-endpoint-software/5725/sophos-remote-management-system
Sophos-Remote Management System,*.sophosupd.net
Sophos-Remote Management System,*.sophos.com
Sophos-Remote Management System,*.sophosupd.com
Splashtop,*.splashtop.eu
Splashtop,*splashtop.com
Splashtop,*splashtop.eu
Splashtop,*.splashtop.com
Splashtop (Beta),splashtop.com
Splashtop Remote,*.relay.splashtop.com
Splashtop Remote,*.api.splashtop.eu
Splashtop Remote,*.api.splashtop.com
Splashtop Remote,splashtop.com
SpyAnywhere,spyanywhere.com
SpyAnywhere,*.spytech-web.com
SunLogin,client.oray.net
SunLogin,sunlogin.oray.com
SuperOps,*.superops.ai
SuperOps,serv.superopsalpha.com
SuperOps,*.superopsbeta.com
SuperOps,superops.ai
SuperOps,*.superopsalpha.com
Supremo,*supremocontrol.com
Supremo,*.nanosystems.it
Supremo,*.supremocontrol.com
Supremo,*nanosystems.it
Supremo,supremocontrol.com
Supremo,* .nanosystems.it
Syncro,ld.aurelius.host
Syncro,servably.com
Syncro,repairshopr.com
Syncro,syncromsp.com
Syncro,kabutoservices.com
Syncro,attachments.servably.com
Syncro,*.syncroapi.com
Syncro,*.syncromsp.com
Syncro,kabuto.io
Syncro,*.kabutoservices.com
Syncro,app.kabuto.io
Syspectr,atled.syspectr.com
Syspectr,app.syspectr.com
TSPlus,securityapi.dl-files.com
TSPlus,secure-download-file.com
TSPlus,tsplus-remotesupport.com
TSPlus,monitoring.tsplus.net
TSPlus,licenseapi.dl-files.com
Tactical RMM,login.tailscale.com
Tactical RMM,docs.tacticalrmm.com
Tailscale,*tailscale.io
Tailscale,*tailscale.com
Tailscale,tailscale.com
Tailscale,*.tailscale.io
Tailscale,*.tailscale.com
Tanium,*.cloud.tanium.com
Tanium,cloud.tanium.com
Tanium Deploy,tanium.com/products/tanium-deploy
Teamviewer,*teamviewer.com
Teamviewer,*.teamviewer.com
Teamviewer,router15.teamviewer.com
Teamviewer,client.teamviewer.com
Teamviewer,taf.teamviewer.com
TeleDesktop,tele-desk.com
TightVNC,tightvnc.com
ToDesk,todesk.com
ToDesk,*.todesk.com
ToDesk,signal.hoptodesk.com
ToDesk,api.hoptodesk.com
ToDesk,todesktop.com
ToDesk,turn.hoptodesk.com
UltraVNC,*uvnc.com
UltraVNC,*uvnc.eu
UltraVNC,ultravnc.com
UltraViewer,ultraviewer.net
UltraViewer,*.ultraviewer.net
VNC,realvnc.com/en/connect/download/vnc
VSCodeTunnel,*.devtunnels.ms
VSCodeTunnel,*.tunnels.api.visualstudio.com
Visual Studio Dev Tunnel,*.devtunnels.ms
Visual Studio Dev Tunnel,*.rel.tunnels.api.visualstudio.com
Visual Studio Dev Tunnel,global.rel.tunnels.api.visualstudio.com
WebRDP,github.com/Mikej81/WebRDP
Weezo,*.weezo.net
Weezo,weezo.net
Weezo,weezo.en.softonic.com
Weezo,*.weezo.me
XMReality,*xmreality.com
Xeox,*.xeox.com
Xeox,xeox.com
Xeox,*xeox.com
Zabbix Agent,zabbix.com
ZeroTier,zerotier.com
ZeroTier,*.zerotier.com
ZohoAssist,*zohoassist.com
ZohoAssist,*.zoho.com
ZohoAssist,*.zoho.eu
ZohoAssist,*.zoho.in
ZohoAssist,*.zoho.com.au
ZohoAssist,*.zoho.com.cn
ZohoAssist,*zoho.com
ZohoAssist,*.zohoassist.jp
ZohoAssist,*.zohoassist.com
ZohoAssist,downloads.zohodl.com.cn
ZohoAssist,zoho.com/assist
ZohoAssist,assist.zoho.com
ZohoAssist,gateway.zohoassist.com
ZohoAssist,*.zohoassist.com.cn
ZohoAssist,downloads.zohocdn.com
eHorus,ehorus.com
ezHelp,ezhelp.co.kr
ezHelp,*.ezhelp.co.kr
mRemoteNG,mremoteng.org
pcAnywhere,beanywhere.en.uptodown.com/windows
pcAnywhere,beanywhere.com
rdp2tcp,github.com/V-E-O/rdp2tcp
rdpwrap,github.com/stascorp/rdpwrap
